side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
UP,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,306,ADEQUATE,0.5522875816993464,1.5923320711566085,1.1588474883686526,0.23741565728164887,0.04555694971618961
UP,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,279,ADEQUATE,0.5161290322580645,1.2952189014597053,1.141876018803613,0.11727368106860689,0.1274658573600133
DOWN,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,236,ADEQUATE,0.5423728813559322,1.3591074322946277,1.1931863595356884,0.10886506007264848,0.30146643635490433
UP,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,235,ADEQUATE,0.44680851063829785,1.2289101916951777,1.4397114885674256,-0.1636256792220118,-0.2166123778500514
UP,SMALL_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,222,ADEQUATE,0.5180180180180181,1.4056587088692383,1.010106088108115,0.02958716216621081,-0.17660590803779203
DOWN,SMALL_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,218,ADEQUATE,0.573394495412844,1.365437259184366,0.9504434533263163,0.21593980255896575,0.12496491401098493
DOWN,SMALL_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,213,ADEQUATE,0.5492957746478874,1.4315442305054071,0.9810112328274259,0.12652503950536367,0.03523221230858339
UP,SMALL_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,211,ADEQUATE,0.6492890995260664,1.3299019704188002,0.8280790532299673,0.2594317187196414,0.2813945215226294
DOWN,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,208,ADEQUATE,0.47115384615384615,1.3885616266280645,1.4488278833941668,-0.1970739316106132,-0.3260711855125778
UP,MEDIUM_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,205,ADEQUATE,0.5170731707317073,1.4507211689809172,1.3721374922993945,0.13311177208677355,0.12654614652746457
UP,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,183,INSUFFICIENT_SAMPLE,0.5300546448087432,1.2178932007057204,0.9966701272644797,0.11058516742683898,0.030386340616334672
