side,m1_previous_color,m5_color,m15_color,h1_color,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,GREEN,RED,DOJI,RED,15,5,INSUFFICIENT_SAMPLE,1.0,3.9459074798468023,0.7564917227502992,2.0342165738950304,2.287581699346527
DOWN,RED,DOJI,GREEN,GREEN,15,5,INSUFFICIENT_SAMPLE,0.8,2.6311283859070382,1.6910284435399832,-0.19395260343440066,-0.6140350877196262
UP,DOJI,GREEN,RED,GREEN,15,5,INSUFFICIENT_SAMPLE,0.4,1.5224116833388774,5.043655048274939,-3.668844498408137,-0.6726457399101713
UP,GREEN,GREEN,GREEN,DOJI,15,5,INSUFFICIENT_SAMPLE,0.8,3.8387608868972825,2.258070015853196,2.23180320735936,0.6171693735506699
DOWN,GREEN,DOJI,RED,GREEN,15,4,INSUFFICIENT_SAMPLE,1.0,2.8917765920389886,0.16838746637940633,1.9175227224416818,1.924428827503156
DOWN,RED,GREEN,DOJI,RED,15,4,INSUFFICIENT_SAMPLE,1.0,6.739668874831392,0.4474412215032083,5.840773929546598,5.435191669260343
DOWN,RED,RED,GREEN,DOJI,15,4,INSUFFICIENT_SAMPLE,0.25,1.03507210167905,8.598620041453124,-7.447367085080388,-6.555629266586671
DOWN,RED,DOJI,RED,RED,15,3,INSUFFICIENT_SAMPLE,0.6666666666666666,2.41027560060008,1.4587664124630528,0.3649857951180356,0.38411138411144613
UP,GREEN,DOJI,RED,RED,15,3,INSUFFICIENT_SAMPLE,0.6666666666666666,2.7717345550948007,1.3461159520125072,0.5177445812704219,2.161579892280417
UP,GREEN,RED,DOJI,RED,15,3,INSUFFICIENT_SAMPLE,0.0,1.0159183610768359,3.6350574982589343,0.7176519536016924,0.72802577082377
UP,RED,DOJI,GREEN,RED,15,3,INSUFFICIENT_SAMPLE,0.3333333333333333,1.9978231689233124,2.0453271500702868,-0.27933014568295017,-0.2789722076560487
UP,RED,RED,GREEN,DOJI,15,3,INSUFFICIENT_SAMPLE,0.6666666666666666,12.43894889025177,0.8819987429619771,10.517543525240653,14.21671826625867
DOWN,GREEN,DOJI,GREEN,RED,15,2,INSUFFICIENT_SAMPLE,0.5,2.681721717899521,2.3200759087936755,-0.6133447890811292,-0.6133447890811292
DOWN,GREEN,DOJI,RED,RED,15,2,INSUFFICIENT_SAMPLE,0.5,2.920700387667724,1.0915100866112506,0.8617336668780868,0.8617336668780868
DOWN,GREEN,GREEN,RED,DOJI,15,2,INSUFFICIENT_SAMPLE,0.0,1.102124449489154,2.551621176962143,-0.3664226339726112,-0.3664226339726112
DOWN,GREEN,RED,GREEN,DOJI,15,2,INSUFFICIENT_SAMPLE,0.0,0.9572560467055414,16.894641367813133,-14.330650542124257,-14.330650542124257
UP,GREEN,GREEN,RED,DOJI,15,2,INSUFFICIENT_SAMPLE,0.5,1.7999829989814349,1.5249277456643007,-0.30098889266648005,-0.30098889266648005
UP,GREEN,RED,RED,DOJI,15,2,INSUFFICIENT_SAMPLE,0.5,2.2787326293237107,1.4663587412935724,0.19484418165392162,0.19484418165392162
UP,GREEN,RED,UNKNOWN,UNKNOWN,15,2,INSUFFICIENT_SAMPLE,0.0,0.23081085464336548,8.455347430082682,-8.174316076791726,-8.174316076791726
UP,RED,DOJI,GREEN,GREEN,15,2,INSUFFICIENT_SAMPLE,1.0,3.855620645728125,0.12454859477729599,0.8499879261877347,0.8499879261877347
DOWN,GREEN,DOJI,GREEN,GREEN,15,1,INSUFFICIENT_SAMPLE,1.0,2.599749058971555,0.6323713927226955,-0.6089502300292821,-0.6089502300292821
DOWN,GREEN,GREEN,GREEN,DOJI,15,1,INSUFFICIENT_SAMPLE,1.0,2.7676630434779033,0.06657608695623966,1.0842391304350083,1.0842391304350083
DOWN,GREEN,RED,UNKNOWN,UNKNOWN,15,1,INSUFFICIENT_SAMPLE,1.0,2.7629752066114777,1.622148760330629,2.4737190082643705,2.4737190082643705
DOWN,RED,GREEN,RED,DOJI,15,1,INSUFFICIENT_SAMPLE,0.0,0.6363636363631431,3.6789772727284906,-2.127840909090616,-2.127840909090616
DOWN,RED,RED,UNKNOWN,UNKNOWN,15,1,INSUFFICIENT_SAMPLE,1.0,3.859832030118732,1.7515204170287764,3.734723428902406,3.734723428902406
