layer,context_key,bars,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_ambiguous,rr_no_touch,rr_edge,fusion_edge_score
4,hour=1|state=NORMAL_FLOW|energy=MEDIUM|vol=NORMAL,250,49.704983749807106,0.9643777837583566,0.8941710300473128,0.5,0.532,0.524,0.696,0.676,0.376,0.608,0.016,0.0,-0.23199999999999998,0.05500000000000005
3,hour=11|state=SWEEP_OR_FALSE_BREAK|energy=HIGH,168,66.47336755808325,1.033994514742606,1.1049146382132151,0.5178571428571429,0.5654761904761905,0.5416666666666666,0.7023809523809523,0.6785714285714286,0.36904761904761907,0.6190476190476191,0.011904761904761904,0.0,-0.25,0.05476190476190479
4,hour=1|state=SWEEP_OR_FALSE_BREAK|energy=HIGH|vol=HIGH,152,67.9188353512606,1.32469464962881,1.2445486772891106,0.5460526315789473,0.5657894736842105,0.4605263157894737,0.7105263157894737,0.6644736842105263,0.375,0.6118421052631579,0.013157894736842105,0.0,-0.23684210526315785,0.05427631578947373
3,hour=20|state=COMPRESSION|energy=LOW,153,30.27904573073042,0.6135213886063159,0.7507893233735174,0.5359477124183006,0.47058823529411764,0.49673202614379086,0.7189542483660131,0.6797385620915033,0.39215686274509803,0.5816993464052288,0.0196078431372549,0.0,-0.18954248366013077,0.053921568627450955
3,hour=21|state=SWEEP_OR_FALSE_BREAK|energy=EXTREME,143,84.75258634521603,1.976228937192798,2.0538912150628166,0.5244755244755245,0.5244755244755245,0.5104895104895105,0.7762237762237763,0.7692307692307693,0.34965034965034963,0.6013986013986014,0.04895104895104895,0.0,-0.2517482517482517,0.05384615384615385
3,hour=20|state=NORMAL_FLOW|energy=LOW,234,32.39586285410951,0.7085751670577493,0.8223079563775546,0.5512820512820513,0.47863247863247865,0.5470085470085471,0.7136752136752137,0.7136752136752137,0.37606837606837606,0.5982905982905983,0.021367521367521368,0.0,-0.2222222222222222,0.053632478632478636
4,hour=4|state=SWEEP_OR_FALSE_BREAK|energy=HIGH|vol=HIGH,257,68.28350303900272,1.3475881934870533,1.2064716789623902,0.5136186770428015,0.5758754863813229,0.5836575875486382,0.7315175097276264,0.7198443579766537,0.36186770428015563,0.6342412451361867,0.0038910505836575876,0.0,-0.2723735408560311,0.05350194552529183
4,hour=2|state=NORMAL_FLOW|energy=MEDIUM|vol=NORMAL,256,49.44623002449187,0.921844442386839,0.9101653528622828,0.55859375,0.5390625,0.50390625,0.72265625,0.703125,0.36328125,0.609375,0.0234375,0.00390625,-0.24609375,0.05292968750000002
3,hour=8|state=LOW_RANGE|energy=LOW,140,28.980546745728297,0.5215196329417523,0.8718913731973511,0.6,0.4785714285714286,0.5142857142857142,0.75,0.7785714285714286,0.36428571428571427,0.6142857142857143,0.014285714285714285,0.0,-0.25000000000000006,0.052857142857142825
3,hour=16|state=SWEEP_OR_FALSE_BREAK|energy=HIGH,209,67.37086430690064,1.2693949447767974,1.2220894966497056,0.5167464114832536,0.5263157894736842,0.5645933014354066,0.6985645933014354,0.6220095693779905,0.3875598086124402,0.583732057416268,0.028708133971291867,0.0,-0.19617224880382778,0.05239234449760763
3,hour=3|state=NORMAL_FLOW|energy=LOW,328,33.09908347957082,0.7432149212689563,0.8190211485471467,0.47560975609756095,0.5304878048780488,0.5335365853658537,0.6951219512195121,0.6737804878048781,0.375,0.6128048780487805,0.006097560975609756,0.0,-0.23780487804878048,0.052286585365853705
4,hour=9|state=NORMAL_FLOW|energy=HIGH|vol=HIGH,285,67.82652881157959,1.1609552751693808,1.1610525165985146,0.49122807017543857,0.5263157894736842,0.5333333333333333,0.775438596491228,0.7614035087719299,0.34385964912280703,0.5964912280701754,0.05964912280701754,0.0,-0.2526315789473684,0.052105263157894766
4,hour=2|state=NORMAL_FLOW|energy=HIGH|vol=HIGH,292,68.23710361903204,1.2216770092422804,1.1352156238287412,0.547945205479452,0.5616438356164384,0.5273972602739726,0.7602739726027398,0.7123287671232876,0.3664383561643836,0.613013698630137,0.02054794520547945,0.0,-0.2465753424657534,0.052054794520547926
4,hour=4|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW,202,29.443230605668823,0.7276138665497849,0.724923511895241,0.5148514851485149,0.504950495049505,0.49504950495049505,0.6584158415841584,0.6138613861386139,0.3910891089108911,0.594059405940594,0.009900990099009901,0.0049504950495049506,-0.20297029702970293,0.05173267326732675
2,hour=2|state=EXPANSION,229,81.18683829974742,1.5330938399863085,1.4766791249454359,0.5807860262008734,0.5458515283842795,0.5283842794759825,0.7467248908296943,0.6943231441048034,0.36681222707423583,0.6026200873362445,0.03056768558951965,0.0,-0.23580786026200867,0.05087336244541488
