side,entry,stop,target,exit_price,pnl_points,pnl_r,mfe_points,mae_points,exit_reason,exit_time,signal_time,entry_time,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr
BUY,4127.19,4123.75531,4129.33668,4129.33668,2.14668,0.625,2.97,0.59,TARGET,2026-07-08 02:38:00,2026-07-08 02:36:00,2026-07-08 02:37:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4128.26,4124.88093,4130.37192,4130.37192,2.11192,0.625,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4078.04,4071.66208,4082.0262,4071.66208,-6.37792,-1.0,2.16,7.75,STOP,2026-07-08 10:42:00,2026-07-08 10:36:00,2026-07-08 10:37:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4128.89,4125.17725,4131.74596,4131.74596,2.85596,0.76923,6.43,2.32,TARGET,2026-07-02 21:13:00,2026-07-02 21:09:00,2026-07-02 21:10:00,8,34,84,1.3,1.0,5,required,closed_all,1.2,0.8
BUY,4185.64,4180.92712,4189.26529,4189.26529,3.62529,0.76923,4.02,1.32,TARGET,2026-07-05 22:28:00,2026-07-05 22:25:00,2026-07-05 22:26:00,8,34,84,1.3,1.0,5,required,closed_all,1.2,0.8
BUY,4187.16,4182.52004,4190.7292,4190.7292,3.5692,0.76923,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,8,34,84,1.3,1.0,5,required,closed_all,1.2,0.8
BUY,4127.19,4124.39931,4129.33668,4129.33668,2.14668,0.76923,2.97,0.59,TARGET,2026-07-08 02:38:00,2026-07-08 02:36:00,2026-07-08 02:37:00,8,34,84,1.3,1.0,5,required,closed_all,1.2,0.8
BUY,4128.26,4125.5145,4130.37192,4130.37192,2.11192,0.76923,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,8,34,84,1.3,1.0,5,required,closed_all,1.2,0.8
BUY,4173.66,4170.58427,4175.58233,4175.58233,1.92233,0.625,3.09,0.53,TARGET,2026-07-03 04:05:00,2026-07-03 04:03:00,2026-07-03 04:04:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4174.42,4171.53153,4176.22529,4176.22529,1.80529,0.625,2.59,1.85,TARGET,2026-07-03 04:30:00,2026-07-03 04:25:00,2026-07-03 04:26:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
