event_name,hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge
FALSE_BREAK,3,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,129,31.858059686743026,0.7373941965933709,0.3953488372093023,0.43410852713178294,0.8062015503875969,0.6201550387596899,0.24031007751937986,0.7441860465116279,-0.5038759689922481
BREAKOUT,6,NORMAL_FLOW,MEDIUM,MIXED,UP,143,49.58787740494341,0.9157115299904007,0.38461538461538464,0.43356643356643354,0.8111888111888111,0.5314685314685315,0.24475524475524477,0.7552447552447552,-0.5104895104895104
FALSE_BREAK,22,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,129,31.187723522410987,0.687239290126622,0.40310077519379844,0.34108527131782945,0.7906976744186046,0.5116279069767442,0.24031007751937986,0.751937984496124,-0.5116279069767442
FALSE_BREAK,16,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,121,30.59938278564429,0.6927094249241523,0.4297520661157025,0.3884297520661157,0.7272727272727273,0.38016528925619836,0.2231404958677686,0.7355371900826446,-0.512396694214876
FALSE_BREAK,21,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,193,51.790005717390386,0.8903425927262659,0.43005181347150256,0.41968911917098445,0.844559585492228,0.616580310880829,0.21243523316062177,0.7305699481865285,-0.5181347150259068
FALSE_BREAK,12,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,233,30.66510678028476,0.6443819262906462,0.44206008583690987,0.4291845493562232,0.7381974248927039,0.45064377682403434,0.22746781115879827,0.7510729613733905,-0.5236051502145922
FALSE_BREAK,23,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,194,29.189883663171642,0.7049893671287508,0.42783505154639173,0.4381443298969072,0.7628865979381443,0.4742268041237113,0.2268041237113402,0.7525773195876289,-0.5257731958762887
FALSE_BREAK,15,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,186,29.3202265563889,0.6542212104542418,0.41935483870967744,0.3817204301075269,0.7473118279569892,0.46236559139784944,0.22580645161290322,0.7526881720430108,-0.5268817204301075
FALSE_BREAK,4,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,165,31.651007594239843,0.71425285002431,0.3878787878787879,0.3878787878787879,0.8606060606060606,0.5757575757575758,0.23030303030303031,0.7575757575757576,-0.5272727272727272
FALSE_BREAK,4,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,191,49.20598045562396,0.9546806125676487,0.39267015706806285,0.34554973821989526,0.8324607329842932,0.5340314136125655,0.2356020942408377,0.7643979057591623,-0.5287958115183247
