timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,RED,PARTIAL_OR_NONE,30,4,INSUFFICIENT_SAMPLE,0.0,0.052168324457022394,0.2734623045332546,0.12368242630027815,0.25714661789812465
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,RED,PARTIAL_OR_NONE,60,4,INSUFFICIENT_SAMPLE,0.0,0.052168324457022394,0.2734623045332546,0.12368242630027815,0.25714661789812465
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,RED,PARTIAL_OR_NONE,180,4,INSUFFICIENT_SAMPLE,0.75,-0.05117337070850375,0.5809097626323213,0.3256293924107293,0.25714661789812465
H1,TRIANGLE_SYMMETRIC,DOWN,RED,GREEN,PARTIAL_OR_NONE,15,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.45907178820028266,0.0895697606078674,0.6159463802283521,0.41057689258121527
H1,TRIANGLE_SYMMETRIC,DOWN,RED,GREEN,PARTIAL_OR_NONE,30,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.45907178820028266,0.0895697606078674,0.6159463802283521,0.41057689258121527
H1,TRIANGLE_SYMMETRIC,DOWN,RED,GREEN,PARTIAL_OR_NONE,60,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.45907178820028266,0.0895697606078674,0.6159463802283521,0.41057689258121527
H1,TRIANGLE_SYMMETRIC,DOWN,RED,GREEN,PARTIAL_OR_NONE,180,7,INSUFFICIENT_SAMPLE,0.5714285714285714,0.2124906189679686,0.7541785424575478,0.830794239221108,0.41057689258121527
H1,TRIANGLE_SYMMETRIC,DOWN,RED,RED,FULL,15,11,ADEQUATE,0.18181818181818182,-0.04109113833531194,0.3107435682508562,0.412891731053335,0.26392296116213587
H1,TRIANGLE_SYMMETRIC,DOWN,RED,RED,FULL,30,11,ADEQUATE,0.18181818181818182,-0.04109113833531194,0.3107435682508562,0.412891731053335,0.26392296116213587
H1,TRIANGLE_SYMMETRIC,DOWN,RED,RED,FULL,60,11,ADEQUATE,0.18181818181818182,-0.04109113833531194,0.3107435682508562,0.412891731053335,0.26392296116213587
H1,TRIANGLE_SYMMETRIC,DOWN,RED,RED,FULL,180,11,ADEQUATE,0.45454545454545453,-0.042442438257424685,0.7847326152240254,0.6210771553373609,0.26392296116213587
H1,TRIANGLE_SYMMETRIC,UP,GREEN,GREEN,FULL,15,10,ADEQUATE,0.1,-0.03614096379730129,0.2429456600738072,0.2827996185998558,0.15754010206069172
H1,TRIANGLE_SYMMETRIC,UP,GREEN,GREEN,FULL,30,10,ADEQUATE,0.1,-0.03614096379730129,0.2429456600738072,0.2827996185998558,0.15754010206069172
H1,TRIANGLE_SYMMETRIC,UP,GREEN,GREEN,FULL,60,10,ADEQUATE,0.1,-0.03614096379730129,0.2429456600738072,0.2827996185998558,0.15754010206069172
H1,TRIANGLE_SYMMETRIC,UP,GREEN,GREEN,FULL,180,10,ADEQUATE,0.4,0.07348271904989329,0.8996382019842084,0.768200083969522,0.15754010206069172
H1,TRIANGLE_SYMMETRIC,UP,GREEN,RED,PARTIAL_OR_NONE,15,11,ADEQUATE,0.09090909090909091,0.006470555113857695,0.326962060717583,0.25016963228556416,0.2273433247823362
H1,TRIANGLE_SYMMETRIC,UP,GREEN,RED,PARTIAL_OR_NONE,30,11,ADEQUATE,0.09090909090909091,0.006470555113857695,0.326962060717583,0.25016963228556416,0.2273433247823362
H1,TRIANGLE_SYMMETRIC,UP,GREEN,RED,PARTIAL_OR_NONE,60,11,ADEQUATE,0.09090909090909091,0.006470555113857695,0.326962060717583,0.25016963228556416,0.2273433247823362
H1,TRIANGLE_SYMMETRIC,UP,GREEN,RED,PARTIAL_OR_NONE,180,11,ADEQUATE,0.6363636363636364,0.31984296364528036,0.8799581385487614,0.5180684233161522,0.2273433247823362
H1,TRIANGLE_SYMMETRIC,UP,RED,GREEN,PARTIAL_OR_NONE,15,9,INSUFFICIENT_SAMPLE,0.2222222222222222,-0.13854079344734793,0.41230102610106933,0.5285120110101823,0.1956157250452276
H1,TRIANGLE_SYMMETRIC,UP,RED,GREEN,PARTIAL_OR_NONE,30,9,INSUFFICIENT_SAMPLE,0.2222222222222222,-0.13854079344734793,0.41230102610106933,0.5285120110101823,0.1956157250452276
H1,TRIANGLE_SYMMETRIC,UP,RED,GREEN,PARTIAL_OR_NONE,60,9,INSUFFICIENT_SAMPLE,0.2222222222222222,-0.13854079344734793,0.41230102610106933,0.5285120110101823,0.1956157250452276
H1,TRIANGLE_SYMMETRIC,UP,RED,GREEN,PARTIAL_OR_NONE,180,9,INSUFFICIENT_SAMPLE,0.2222222222222222,-0.468164786356905,0.5338368888467822,0.9476259153638202,0.1956157250452276
H1,TRIANGLE_SYMMETRIC,UP,RED,RED,PARTIAL_OR_NONE,15,8,INSUFFICIENT_SAMPLE,0.125,-0.07062528555450451,0.2788140232221367,0.48427579795219033,0.22651772324810124
H1,TRIANGLE_SYMMETRIC,UP,RED,RED,PARTIAL_OR_NONE,30,8,INSUFFICIENT_SAMPLE,0.125,-0.07062528555450451,0.2788140232221367,0.48427579795219033,0.22651772324810124
